"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.329491666E-1,3.749736786E1,-2.196452332E1,-4.302758789E1,6.115444547E1
7.429931667E-1,3.749215698E1,-2.191108322E1,-4.299743652E1,6.111085788E1
7.530371668E-1,3.754876709E1,-2.175382614E1,-4.262359619E1,6.082688397E1
7.630801667E-1,3.749958038E1,-2.214101410E1,-4.329180908E1,6.140540504E1
7.731241668E-1,3.747099686E1,-2.210801315E1,-4.301159668E1,6.117873242E1
7.831671666E-1,3.723042679E1,-2.204491425E1,-4.323028564E1,6.116322849E1
7.932111667E-1,3.701295471E1,-2.202795029E1,-4.335449219E1,6.111302155E1
8.032551669E-1,3.710714722E1,-2.183052063E1,-4.301593018E1,6.085952887E1
8.132981667E-1,3.709734344E1,-2.203790665E1,-4.345428467E1,6.123852608E1
8.233421668E-1,3.706123734E1,-2.194401932E1,-4.302484131E1,6.087866840E1
8.333861665E-1,3.698985672E1,-2.181320572E1,-4.316711426E1,6.088895793E1
8.434291668E-1,3.703546143E1,-2.178657532E1,-4.371551514E1,6.129703525E1
8.534731665E-1,3.710642624E1,-2.166651535E1,-4.329718018E1,6.099975874E1
8.635161668E-1,3.690787888E1,-2.156338882E1,-4.355822754E1,6.102860352E1
8.735601665E-1,3.691422272E1,-2.128257751E1,-4.361926270E1,6.097743864E1
8.836041666E-1,3.677726746E1,-2.108194351E1,-4.324029541E1,6.055360345E1
8.936471664E-1,3.693924332E1,-2.118568039E1,-4.380773926E1,6.109385214E1
9.036911665E-1,3.687976074E1,-2.100606537E1,-4.362298584E1,6.086326009E1
9.137351667E-1,3.668656158E1,-2.136058426E1,-4.375012207E1,6.096106579E1
9.237781665E-1,3.666671371E1,-2.151403427E1,-4.407843018E1,6.123895469E1
9.338221666E-1,3.652091599E1,-2.155171204E1,-4.374096680E1,6.092229290E1
9.438661668E-1,3.620277405E1,-2.179389954E1,-4.385803223E1,6.090272487E1
9.539091666E-1,3.625067520E1,-2.184247971E1,-4.350952148E1,6.069830172E1
9.639531667E-1,3.594921875E1,-2.168069077E1,-4.357171631E1,6.050531500E1
9.739961666E-1,3.579469299E1,-2.188816833E1,-4.437976074E1,6.107303106E1
9.840401667E-1,3.579469299E1,-2.188816833E1,-4.437976074E1,6.107303106E1
9.940841668E-1,3.558232498E1,-2.170477295E1,-4.403173828E1,6.062996780E1
1.004127167E0,3.565137863E1,-2.152744675E1,-4.442272949E1,6.089195889E1
1.014171167E0,3.586152649E1,-2.102385712E1,-4.437615967E1,6.080538790E1
1.024215166E0,3.583781815E1,-2.074782562E1,-4.407519531E1,6.047680811E1
1.034258167E0,3.572235870E1,-2.115613937E1,-4.469641113E1,6.100359262E1
1.044302166E0,3.565913010E1,-2.113212204E1,-4.473577881E1,6.098713017E1
1.054346167E0,3.571273422E1,-2.092693329E1,-4.501654053E1,6.115410733E1
1.064389166E0,3.532148743E1,-2.068426132E1,-4.472534180E1,6.062839549E1
1.074433167E0,3.523305893E1,-2.040032959E1,-4.414141846E1,6.005003507E1
1.084476167E0,3.486224747E1,-2.057292175E1,-4.484973145E1,6.041622149E1
1.094520167E0,3.495967102E1,-2.043409348E1,-4.453942871E1,6.019544405E1
1.104564167E0,3.508231354E1,-2.002971268E1,-4.429156494E1,5.994748400E1
