"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.392453337E-1,5.969141006E0,5.695480347E0,-4.919158936E1,4.987866883E1
7.492893334E-1,6.334651947E0,5.730895996E0,-4.889190674E1,4.963254506E1
7.593333335E-1,6.516412735E0,5.961242676E0,-4.843096924E1,4.922965398E1
7.693763333E-1,6.652534485E0,6.222160339E0,-4.895556641E1,4.979577268E1
7.794203334E-1,6.981901169E0,6.395278931E0,-4.832598877E1,4.924477360E1
7.894643336E-1,7.208639145E0,6.687026978E0,-4.874877930E1,4.973051670E1
7.995073334E-1,7.495157242E0,7.000083923E0,-4.896575928E1,5.002823341E1
8.095513335E-1,7.530027390E0,7.022727966E0,-4.811315918E1,4.920260264E1
8.195953337E-1,7.727148056E0,7.197082520E0,-4.852636719E1,4.966200888E1
8.296383335E-1,7.778585434E0,7.370697021E0,-4.824163818E1,4.941749913E1
8.396823336E-1,7.919073105E0,7.553909302E0,-4.822821045E1,4.945435823E1
8.497263337E-1,8.257741928E0,7.864814758E0,-4.840234375E1,4.972758282E1
8.597693336E-1,8.382846832E0,8.084777832E0,-4.804357910E1,4.943502045E1
8.698133337E-1,8.611621857E0,8.399375916E0,-4.792199707E1,4.940877807E1
8.798573334E-1,8.697387695E0,8.470970154E0,-4.760839844E1,4.913208208E1
8.899003337E-1,8.816013336E0,8.610168457E0,-4.752429199E1,4.909598172E1
8.999443334E-1,9.133094788E0,8.739990234E0,-4.789569092E1,4.953582601E1
9.099883335E-1,9.387580872E0,8.819641113E0,-4.771911621E1,4.942698449E1
9.200313333E-1,9.548267365E0,8.897384644E0,-4.819653320E1,4.993234098E1
9.300753335E-1,9.709438324E0,8.772766113E0,-4.826940918E1,5.001170343E1
9.401193336E-1,9.737239838E0,8.690513611E0,-4.773541260E1,4.948745783E1
9.501623334E-1,9.663394928E0,8.729972839E0,-4.796423340E1,4.970071743E1
9.602063335E-1,9.791486740E0,8.536582947E0,-4.771636963E1,4.945299174E1
9.702503337E-1,9.737401962E0,8.505409241E0,-4.796105957E1,4.967315390E1
9.802933335E-1,9.953527451E0,8.376625061E0,-4.833898926E1,5.005894964E1
9.903373336E-1,9.942697525E0,8.351295471E0,-4.755310059E1,4.929400314E1
1.000381334E0,1.013765526E1,8.233352661E0,-4.815179443E1,4.989143671E1
1.010424334E0,1.030154610E1,8.052932739E0,-4.773516846E1,4.949361459E1
1.020468334E0,1.020652580E1,7.975822449E0,-4.744879150E1,4.918510677E1
1.030512333E0,1.038451004E1,8.085754395E0,-4.781518555E1,4.959344152E1
1.040555334E0,1.062754822E1,7.946388245E0,-4.763958740E1,4.945321178E1
1.050599333E0,1.078540802E1,7.921371460E0,-4.783831787E1,4.967472002E1
1.060643333E0,1.078680420E1,7.771049500E0,-4.789270020E1,4.970367277E1
1.070686333E0,1.090363312E1,7.740180969E0,-4.744152832E1,4.928994041E1
1.080730333E0,1.093693924E1,7.710891724E0,-4.799322510E1,4.982393146E1
1.090774500E0,1.081355667E1,7.535552979E0,-4.759912109E1,4.939022065E1
1.100817500E0,1.075073242E1,7.454444885E0,-4.788623047E1,4.964109250E1
