"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.227550414E-1,-4.794351578E0,-2.778466034E1,-2.569171143E1,3.814494977E1
7.327980418E-1,-4.888612747E0,-2.805442810E1,-2.585565186E1,3.846380381E1
7.428410416E-1,-5.016128540E0,-2.823542404E1,-2.538104248E1,3.829618824E1
7.528840415E-1,-5.124382019E0,-2.848638153E1,-2.480010986E1,3.811533383E1
7.629270419E-1,-5.283466339E0,-2.864324570E1,-2.486737061E1,3.829799814E1
7.729710415E-1,-5.277088165E0,-2.882970810E1,-2.433721924E1,3.809593113E1
7.830140418E-1,-5.629320145E0,-2.889558411E1,-2.419970703E1,3.810865842E1
7.930570417E-1,-5.932048798E0,-2.901483536E1,-2.405773926E1,3.815527083E1
8.031000416E-1,-6.243436813E0,-2.906333923E1,-2.369134521E1,3.801234048E1
8.131430415E-1,-6.476894379E0,-2.920585251E1,-2.377343750E1,3.821136365E1
8.231860418E-1,-6.745954514E0,-2.923993683E1,-2.342388916E1,3.806783933E1
8.332290417E-1,-7.014436722E0,-2.915808868E1,-2.334619141E1,3.800580365E1
8.432720415E-1,-7.082454681E0,-2.921098709E1,-2.361755371E1,3.822606146E1
8.533150414E-1,-7.212939262E0,-2.903493500E1,-2.336187744E1,3.795828316E1
8.633580417E-1,-7.091402054E0,-2.900791931E1,-2.400036621E1,3.831142054E1
8.734010416E-1,-7.218378067E0,-2.888028336E1,-2.369970703E1,3.805064864E1
8.834450417E-1,-7.084991455E0,-2.877268600E1,-2.349310303E1,3.781521458E1
8.934880416E-1,-7.253493309E0,-2.852207565E1,-2.438037109E1,3.821680860E1
9.035310415E-1,-7.268495560E0,-2.840766144E1,-2.433581543E1,3.810588103E1
9.135740418E-1,-7.335488319E0,-2.818640518E1,-2.478063965E1,3.824085417E1
9.236170417E-1,-7.162504196E0,-2.805302048E1,-2.513330078E1,3.834000825E1
9.336600415E-1,-6.943311691E0,-2.782148361E1,-2.486297607E1,3.795276152E1
9.437030414E-1,-6.795335770E0,-2.768514633E1,-2.538586426E1,3.817179613E1
9.537460417E-1,-6.958856583E0,-2.759267044E1,-2.537774658E1,3.812887578E1
9.637890416E-1,-6.991609573E0,-2.742694092E1,-2.532287598E1,3.797851683E1
9.738320415E-1,-6.879838943E0,-2.761684799E1,-2.571203613E1,3.835532921E1
9.838750418E-1,-6.789459229E0,-2.767773056E1,-2.513647461E1,3.799994581E1
9.939190415E-1,-6.487604141E0,-2.776723480E1,-2.549816895E1,3.825264639E1
1.003962042E0,-6.379653931E0,-2.782889557E1,-2.526025391E1,3.812122559E1
1.014005042E0,-6.267419815E0,-2.785416031E1,-2.513995361E1,3.804145194E1
1.024048042E0,-6.279544830E0,-2.781616974E1,-2.551916504E1,3.826747662E1
1.034091041E0,-6.186618805E0,-2.785756683E1,-2.514727783E1,3.803556053E1
