"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.379957917E-1,1.773507690E1,-1.128677368E1,-3.953137207E1,4.477335805E1
7.480397914E-1,1.720637512E1,-1.227323914E1,-3.950018311E1,4.479906482E1
7.580837915E-1,1.635644150E1,-1.346103668E1,-3.947998047E1,4.480403492E1
7.681277916E-1,1.579202461E1,-1.407739639E1,-3.905352783E1,4.441552844E1
7.781717917E-1,1.595421028E1,-1.425025940E1,-3.946093750E1,4.488621511E1
7.882167916E-1,1.657276344E1,-1.399438858E1,-3.913500977E1,4.474425538E1
7.982607917E-1,1.714599800E1,-1.363812256E1,-3.928350830E1,4.497974721E1
8.083047918E-1,1.738802528E1,-1.313033295E1,-3.952075195E1,4.512913584E1
8.183487915E-1,1.725343513E1,-1.254093170E1,-3.912377930E1,4.456036466E1
8.283927916E-1,1.675376320E1,-1.208266449E1,-3.964947510E1,4.470749644E1
8.384377914E-1,1.624097633E1,-1.188568115E1,-3.979687500E1,4.459630017E1
8.484817916E-1,1.579444122E1,-1.181714630E1,-3.991186523E1,4.452040326E1
8.585257917E-1,1.533465195E1,-1.183564758E1,-4.044036865E1,4.484035594E1
8.685697918E-1,1.442297554E1,-1.214628601E1,-4.045849609E1,4.463680537E1
8.786137914E-1,1.366066933E1,-1.232738495E1,-4.114593506E1,4.507289960E1
8.886587918E-1,1.284959602E1,-1.245152283E1,-4.126867676E1,4.498062049E1
8.987027914E-1,1.225516701E1,-1.238462830E1,-4.118194580E1,4.471600157E1
9.087467915E-1,1.120838928E1,-1.233985138E1,-4.170452881E1,4.491288953E1
9.187907916E-1,1.058768082E1,-1.221870422E1,-4.131518555E1,4.436598105E1
9.288347918E-1,9.899955750E0,-1.176326752E1,-4.217749023E1,4.489236315E1
9.388797916E-1,1.048522949E1,-1.090293884E1,-4.170764160E1,4.436599465E1
9.489237918E-1,1.018528748E1,-1.054759979E1,-4.184552002E1,4.434004384E1
9.589677914E-1,1.000768280E1,-1.016515350E1,-4.227618408E1,4.461793139E1
9.690117915E-1,1.038064575E1,-1.011582184E1,-4.227880859E1,4.469435438E1
9.790557916E-1,1.008576202E1,-9.768356323E0,-4.201800537E1,4.430187531E1
9.891007915E-1,1.007582474E1,-9.334236145E0,-4.266387939E1,4.482027235E1
9.991447916E-1,1.007582474E1,-9.334236145E0,-4.266387939E1,4.482027235E1
1.009188792E0,1.010801315E1,-8.957229614E0,-4.232641602E1,4.442892509E1
1.019232791E0,9.951679230E0,-8.379440308E0,-4.266400146E1,4.460345234E1
1.029276791E0,9.999042511E0,-7.890518188E0,-4.276702881E1,4.462353506E1
1.039321791E0,9.854537964E0,-7.254348755E0,-4.252655029E1,4.425206181E1
1.049365791E0,9.640596390E0,-6.745574951E0,-4.289221191E1,4.447679983E1
1.059409792E0,9.489171982E0,-6.263938904E0,-4.264471436E1,4.413448740E1
1.069453792E0,9.465156555E0,-5.943122864E0,-4.291796875E1,4.434931724E1
1.079497791E0,9.326303482E0,-5.859077454E0,-4.326159668E1,4.464162265E1
1.089542792E0,9.055965424E0,-5.982292175E0,-4.271472168E1,4.407205211E1
1.099586792E0,8.792078018E0,-6.110778809E0,-4.293646240E1,4.425135091E1
1.109630791E0,8.637287140E0,-6.484924316E0,-4.271789551E1,4.406217844E1
1.119674792E0,8.320243835E0,-6.873130798E0,-4.261114502E1,4.395652471E1
1.129718792E0,8.433572769E0,-7.150405884E0,-4.312261963E1,4.451756707E1
1.139763792E0,8.384021759E0,-7.320281982E0,-4.279052734E1,4.421433681E1
1.149807792E0,8.520713806E0,-7.382827759E0,-4.285321045E1,4.431146979E1
1.159851792E0,8.674823761E0,-7.419082642E0,-4.261761475E1,4.411979648E1
1.169895791E0,8.693513870E0,-7.490211487E0,-4.239538574E1,4.392094243E1
1.179939792E0,8.413215637E0,-7.579704285E0,-4.300177002E1,4.446781240E1
1.189984791E0,8.228263855E0,-7.715469360E0,-4.283062744E1,4.429103115E1
1.200028792E0,7.992307663E0,-7.807571411E0,-4.303973389E1,4.446632261E1
1.210072792E0,7.786062241E0,-7.906028748E0,-4.324084473E1,4.464189410E1
1.220116792E0,7.587322235E0,-8.052238464E0,-4.279821777E1,4.420512920E1
1.230160917E0,7.285835266E0,-8.319526672E0,-4.334197998E1,4.473058404E1
1.240204917E0,7.144031525E0,-8.476280212E0,-4.301757812E1,4.442292809E1
1.250249917E0,6.908821106E0,-8.543930054E0,-4.296038818E1,4.434326897E1
1.260293917E0,6.823202133E0,-8.524253845E0,-4.362048340E1,4.496627139E1
1.270337916E0,6.838949203E0,-8.585929871E0,-4.308673096E1,4.446297114E1
1.280381917E0,6.877107620E0,-8.479904175E0,-4.345159912E1,4.480228622E1
1.290426916E0,6.839298248E0,-8.580314636E0,-4.328002930E1,4.464928595E1
1.300470917E0,6.971569061E0,-8.605026245E0,-4.306665039E1,4.446780440E1
1.310514917E0,7.019540787E0,-8.624473572E0,-4.327600098E1,4.468185043E1
1.320558917E0,7.241144180E0,-8.687141418E0,-4.308624268E1,4.454576190E1
1.330602916E0,7.359460831E0,-8.772064209E0,-4.314538574E1,4.463894135E1
1.340646917E0,7.484216690E0,-8.849998474E0,-4.307910156E1,4.461104083E1
1.350691916E0,7.564861298E0,-9.120483398E0,-4.279858398E1,4.440866058E1
1.360735917E0,7.534793854E0,-9.135826111E0,-4.303875732E1,4.463822431E1
1.370779917E0,7.616664886E0,-9.283943176E0,-4.290722656E1,4.455597913E1
1.380823917E0,7.702898026E0,-9.432136536E0,-4.276037598E1,4.446065217E1
1.390867916E0,7.540384293E0,-9.521224976E0,-4.311999512E1,4.479782472E1
1.400912917E0,7.624675751E0,-9.649101257E0,-4.264465332E1,4.438251111E1
1.410956916E0,7.600711823E0,-9.702575684E0,-4.285705566E1,4.459414777E1
1.421000917E0,7.602863312E0,-9.796340942E0,-4.254724121E1,4.431748595E1
1.431044917E0,7.712045670E0,-9.816268921E0,-4.258703613E1,4.437894130E1
1.441088917E0,7.734878540E0,-9.805229187E0,-4.316717529E1,4.493746642E1
1.451133917E0,7.864652634E0,-9.916580200E0,-4.285302734E1,4.468303119E1
1.461177917E0,7.737440109E0,-9.845115662E0,-4.300927734E1,4.479500217E1
1.471221916E0,7.785102844E0,-9.921554565E0,-4.291644287E1,4.473104224E1
1.481265916E0,7.897424698E0,-1.011024475E1,-4.284930420E1,4.472861764E1
1.491309917E0,7.897424698E0,-1.011024475E1,-4.284930420E1,4.472861764E1
1.501354916E0,7.724607468E0,-1.023101044E1,-4.320623779E1,4.506797221E1
1.511398917E0,7.831979752E0,-1.044314575E1,-4.265649414E1,4.460914360E1
1.521442917E0,7.703601837E0,-1.052040863E1,-4.277441406E1,4.471772554E1
1.531486917E0,7.852941513E0,-1.059023285E1,-4.310168457E1,4.507301782E1
1.541530916E0,7.651473999E0,-1.070234680E1,-4.256323242E1,4.455012947E1
1.551575917E0,7.818544388E0,-1.087709045E1,-4.311413574E1,4.514719741E1
1.561619916E0,7.836053848E0,-1.099121857E1,-4.303820801E1,4.510540959E1
1.571663917E0,7.855401993E0,-1.113772583E1,-4.274804688E1,4.486816008E1
1.581707917E0,8.050628662E0,-1.134784698E1,-4.342028809E1,4.559503998E1
1.591751917E0,8.179157257E0,-1.111663055E1,-4.291168213E1,4.507649666E1
1.601796917E0,8.303052902E0,-1.121264648E1,-4.337445068E1,4.556322092E1
1.611840917E0,8.457963943E0,-1.134941864E1,-4.340246582E1,4.565216859E1
1.621884916E0,8.364784241E0,-1.141897583E1,-4.282525635E1,4.510393781E1
1.631928917E0,8.411293030E0,-1.154626465E1,-4.288635254E1,4.520293477E1
1.641972917E0,8.385253906E0,-1.173175812E1,-4.263952637E1,4.501195220E1
1.652017917E0,8.435796738E0,-1.191825867E1,-4.274151611E1,4.516685462E1
1.662061917E0,8.394214630E0,-1.214770508E1,-4.311883545E1,4.557700680E1
1.672105917E0,8.376420975E0,-1.227612305E1,-4.273608398E1,4.524644185E1
